"loc_name","datetime","loc_x","loc_y"
"b","21/03/2021 14:38:35",0.1978275407,0.04072561075
"c","21/03/2021 14:50:11",0.2013212914,0.3373348094
"d","21/03/2021 15:06:32",0.1590560932,0.6149255964
"e","21/03/2021 15:17:45",0.1268805831,0.9738961724
"f","21/03/2021 15:29:52",0.6263209554,0.942659849
"g","21/03/2021 15:42:24",0.6779369792,0.4552867591
"i","21/03/2021 16:00:24",0.6921440679,0.05027828211
"j","21/03/2021 16:05:33",0.9592554585,0.02191246138
"k","21/03/2021 16:17:49",1.007472135,0.4189325265
"l","21/03/2021 16:28:55",1.049884069,0.9433588409
"r","21/03/2021 16:40:47",-1.037991359,0.9767815979
"t","21/03/2021 17:03:56",-0.1968326815,0.9610203042
"u","21/03/2021 17:15:00",-0.4672079154,0.06044992135
"v","21/03/2021 17:27:46",-0.8524068903,0.04368429777
"w","23/03/2021 15:26:01",-0.1465931437,0.06915679714
"x","23/03/2021 15:38:15",-0.1259238308,0.3547540766
"y","23/03/2021 15:49:07",-0.5436149507,0.3899630348
"z","23/03/2021 16:00:49",-0.5535182669,0.7275284311
"q","23/03/2021 16:13:06",-0.1032957923,0.6556688779
"h2","14/09/2021 12:33:48",-1.137124951,0.4589488413
"h3","14/09/2021 12:53:22",-0.5615203747,0.07027919067
"h4","14/09/2021 12:56:41",-0.3633327982,0.6924470266
"h5","14/09/2021 13:00:35",-0.626534663,0.9880497977
"h6","14/09/2021 13:04:43",-0.9564565015,0.9603464217
"h7","14/09/2021 13:08:42",-0.7461788429,0.693844025
"h8","14/09/2021 13:19:06",-0.382720309,0.1945235193
"h9","14/09/2021 13:23:41",-0.9439715466,0.05947876116
"h10","14/09/2021 13:26:59",-0.3161380001,0.2101015072
"h11","14/09/2021 13:31:08",-1.02569139,0.06638102357
"h12","14/09/2021 13:34:29",-1.140815302,0.5161617842
"h18","14/09/2021 13:38:22",0.97667096,0.4464791768
"h19","14/09/2021 13:42:51",0.588139826,0.4474908016
"h20","14/09/2021 13:46:43",0.5701080907,0.04315684962
"h21","14/09/2021 13:50:23",0.1693664778,0.06404716214
"h22","14/09/2021 13:54:11",0.156951158,0.3475174004
"h23","14/09/2021 13:57:58",0.1508229727,0.6954182482
"h24","14/09/2021 14:01:55",0.5226937215,0.6649009755
"h25","14/09/2021 14:05:53",0.9495073643,0.9284499853
"h26","14/09/2021 14:09:32",0.4748839345,0.9190557968
"h27","14/09/2021 14:12:52",0.1170593548,0.9603966122
"h28","14/09/2021 14:16:28",0.3787576588,0.8303937717
"h30","14/09/2021 14:19:01",0.3506333849,0.1357284456
"o9","05/10/2021 12:07:10",-1.526815749,0.05999811972
"o10","05/10/2021 12:21:16",-1.190401478,0.149931541
"o11","05/10/2021 12:29:00",-1.019285074,0.9585672453
"o3","05/10/2021 12:36:21",0.7468855889,0.0807316616
"o12","05/10/2021 12:43:12",-0.08202677674,0.1503161183
"o13","05/10/2021 12:50:12",-1.065423144,0.9584395712
"o14","05/10/2021 12:57:04",-0.08265542624,0.6941577796
"o15","05/10/2021 13:05:59",-0.0686083553,0.4135509707
"o4","05/10/2021 13:14:05",0.881031549,0.9329469911
"o17","05/10/2021 13:21:48",-0.89283641,0.4246081216
"o18","05/10/2021 13:28:28",-0.1304873714,0.1576227635
"o19","05/10/2021 13:35:51",-0.3413988309,0.04389063162
"o5","05/10/2021 13:44:53",0.1415413338,0.695849562
"o6","05/10/2021 13:52:11",0.220729828,0.9406998512
"o7","05/10/2021 13:58:52",0.5424274229,0.7083532523
"o8","05/10/2021 14:06:00",0.5447556572,0.1425665911
"o20","05/10/2021 14:13:28",-0.483463675,0.1216909595
"o22","05/10/2021 14:19:40",-0.07655535426,0.3126091789
